bank_version,model_id,model_family,candidate_id,value,finite,source_bank
XREG-v2.7-TECHNICAL,F1,F,LIT-X001::solid_chord_x_mean_mm,2.154114464692483,True,PRM082_existing
XREG-v2.7-TECHNICAL,F2,F,LIT-X001::solid_chord_x_mean_mm,1.9191645548565115,True,PRM082_existing
XREG-v2.7-TECHNICAL,L1,L,LIT-X001::solid_chord_x_mean_mm,2.480720855778026,True,PRM082_existing
XREG-v2.7-TECHNICAL,L10,L,LIT-X001::solid_chord_x_mean_mm,2.682135046473483,True,PRM082_existing
XREG-v2.7-TECHNICAL,L11,L,LIT-X001::solid_chord_x_mean_mm,1.7134927738724184,True,PRM082_existing
XREG-v2.7-TECHNICAL,L12,L,LIT-X001::solid_chord_x_mean_mm,1.6485850158908206,True,PRM082_existing
XREG-v2.7-TECHNICAL,L13,L,LIT-X001::solid_chord_x_mean_mm,2.41829863851618,True,PRM082_existing
XREG-v2.7-TECHNICAL,L14,L,LIT-X001::solid_chord_x_mean_mm,1.8146675797390777,True,PRM082_existing
XREG-v2.7-TECHNICAL,L15,L,LIT-X001::solid_chord_x_mean_mm,1.947980087833117,True,PRM082_existing
XREG-v2.7-TECHNICAL,L16,L,LIT-X001::solid_chord_x_mean_mm,2.872529192610863,True,PRM082_existing
XREG-v2.7-TECHNICAL,L17,L,LIT-X001::solid_chord_x_mean_mm,1.888301831083521,True,PRM082_existing
XREG-v2.7-TECHNICAL,L18,L,LIT-X001::solid_chord_x_mean_mm,1.957545221270764,True,PRM082_existing
XREG-v2.7-TECHNICAL,L19,L,LIT-X001::solid_chord_x_mean_mm,2.839436570492764,True,PRM082_existing
XREG-v2.7-TECHNICAL,L2,L,LIT-X001::solid_chord_x_mean_mm,2.297675996001713,True,PRM082_existing
XREG-v2.7-TECHNICAL,L20,L,LIT-X001::solid_chord_x_mean_mm,1.327536062699042,True,PRM082_existing
XREG-v2.7-TECHNICAL,L3,L,LIT-X001::solid_chord_x_mean_mm,1.1852297631259907,True,PRM082_existing
XREG-v2.7-TECHNICAL,L4,L,LIT-X001::solid_chord_x_mean_mm,1.9032390948799311,True,PRM082_existing
XREG-v2.7-TECHNICAL,L5,L,LIT-X001::solid_chord_x_mean_mm,1.6014031451506778,True,PRM082_existing
XREG-v2.7-TECHNICAL,L6,L,LIT-X001::solid_chord_x_mean_mm,2.2724247153874404,True,PRM082_existing
XREG-v2.7-TECHNICAL,L7,L,LIT-X001::solid_chord_x_mean_mm,2.7530603282648074,True,PRM082_existing
XREG-v2.7-TECHNICAL,L8,L,LIT-X001::solid_chord_x_mean_mm,1.9120487198824303,True,PRM082_existing
XREG-v2.7-TECHNICAL,L9,L,LIT-X001::solid_chord_x_mean_mm,2.009169805141641,True,PRM082_existing
XREG-v2.7-TECHNICAL,T1,T,LIT-X001::solid_chord_x_mean_mm,1.928273222068049,True,PRM082_existing
XREG-v2.7-TECHNICAL,T10,T,LIT-X001::solid_chord_x_mean_mm,2.3688613673475234,True,PRM082_existing
XREG-v2.7-TECHNICAL,T11,T,LIT-X001::solid_chord_x_mean_mm,1.6303771576572126,True,PRM082_existing
XREG-v2.7-TECHNICAL,T12,T,LIT-X001::solid_chord_x_mean_mm,1.7635216049659577,True,PRM082_existing
XREG-v2.7-TECHNICAL,T13,T,LIT-X001::solid_chord_x_mean_mm,0.96634422528459,True,PRM082_existing
XREG-v2.7-TECHNICAL,T14,T,LIT-X001::solid_chord_x_mean_mm,1.886706299681272,True,PRM082_existing
XREG-v2.7-TECHNICAL,T15,T,LIT-X001::solid_chord_x_mean_mm,2.0053257697879894,True,PRM082_existing
XREG-v2.7-TECHNICAL,T16,T,LIT-X001::solid_chord_x_mean_mm,1.5873372651544908,True,PRM082_existing
XREG-v2.7-TECHNICAL,T17,T,LIT-X001::solid_chord_x_mean_mm,2.3626943701332825,True,PRM082_existing
XREG-v2.7-TECHNICAL,T2,T,LIT-X001::solid_chord_x_mean_mm,3.3877579378864726,True,PRM082_existing
