bank_version,model_id,model_family,candidate_id,value,finite,source_bank
XREG-v0.3-TECHNICAL,B3,B,LIT-X001::solid_chord_x_mean_mm,2.4203278933227188,True,PRM082_existing
XREG-v0.3-TECHNICAL,B4,B,LIT-X001::solid_chord_x_mean_mm,1.9516322407673137,True,PRM082_existing
XREG-v0.3-TECHNICAL,B5,B,LIT-X001::solid_chord_x_mean_mm,1.7221362229102166,True,PRM082_existing
XREG-v0.3-TECHNICAL,C1,C,LIT-X001::solid_chord_x_mean_mm,1.5976563799009011,True,PRM082_existing
XREG-v0.3-TECHNICAL,C10,C,LIT-X001::solid_chord_x_mean_mm,1.6900182985899319,True,PRM082_existing
XREG-v0.3-TECHNICAL,C11,C,LIT-X001::solid_chord_x_mean_mm,1.6955093470604172,True,PRM082_existing
XREG-v0.3-TECHNICAL,C12,C,LIT-X001::solid_chord_x_mean_mm,1.4377243935900057,True,PRM082_existing
XREG-v0.3-TECHNICAL,C13,C,LIT-X001::solid_chord_x_mean_mm,1.1178338685304119,True,PRM082_existing
XREG-v0.3-TECHNICAL,C14,C,LIT-X001::solid_chord_x_mean_mm,1.2813758516754894,True,PRM082_existing
XREG-v0.3-TECHNICAL,C2,C,LIT-X001::solid_chord_x_mean_mm,1.5509905813575835,True,PRM082_existing
XREG-v0.3-TECHNICAL,C3,C,LIT-X001::solid_chord_x_mean_mm,1.5421191664220719,True,PRM082_existing
XREG-v0.3-TECHNICAL,C4,C,LIT-X001::solid_chord_x_mean_mm,2.0614746280045786,True,PRM082_existing
XREG-v0.3-TECHNICAL,C5,C,LIT-X001::solid_chord_x_mean_mm,1.9827654990824224,True,PRM082_existing
XREG-v0.3-TECHNICAL,C6,C,LIT-X001::solid_chord_x_mean_mm,2.8822488964141018,True,PRM082_existing
XREG-v0.3-TECHNICAL,C7,C,LIT-X001::solid_chord_x_mean_mm,1.3984500267236772,True,PRM082_existing
XREG-v0.3-TECHNICAL,C8,C,LIT-X001::solid_chord_x_mean_mm,2.358361390364188,True,PRM082_existing
XREG-v0.3-TECHNICAL,C9,C,LIT-X001::solid_chord_x_mean_mm,2.1031267384141383,True,PRM082_existing
XREG-v0.3-TECHNICAL,F1,F,LIT-X001::solid_chord_x_mean_mm,2.154114464692483,True,PRM082_existing
XREG-v0.3-TECHNICAL,F2,F,LIT-X001::solid_chord_x_mean_mm,1.9191645548565111,True,PRM082_existing
XREG-v0.3-TECHNICAL,L1,L,LIT-X001::solid_chord_x_mean_mm,2.480720855778026,True,PRM082_existing
XREG-v0.3-TECHNICAL,L10,L,LIT-X001::solid_chord_x_mean_mm,2.682135046473483,True,PRM082_existing
